Subject,Verb,Object,Source,Coder,Comments,TO DO
people,transform,science,,PW,,No unclear triples or unspecific terms -- can give extra context in another column
design,creates,bias,,PW,,
incentives,creates,bias,TN,PW,,
regulators,lack,capacity,IS,PW,,
technology,enables,capacity,,PW,,
shared interest,drives,collaboration,,PW,,
corporations,escape,compliance,,PW,,
regulators,should measure,compliance,,PW,,
regulators,should inform,consumers,,PW,,
AI explainability,enables,conversation,PC,PW,,
AI explainability,makes ,policy,,PW,,
supply chain,affects,AI training,,PW,,
behavior model,instruments,intervetions,,PW,,
corporations,exploit,regulation,,PW,,
corporations,exploit,technology,,PW,,
corporations,have,monopoly,,PW,,
corporations,hire,lobbyists,,PW,,
data,affects,measurement,,PW,,
countries,diversify,products,NG,PW,,
economy,impacts,society,,PW,,
economic forecasting,creates,shared belief,NG,PW,,
environment,impacts,society,,PW,,
future,holds,inherent pluralities,NG,PW,,
geopolitical strategy,impacts,society,,PW,,
government,lacks,oversight,,PW,??,
government,lacks,data,,PW,,
government,intervenes on,development,,PW,,
government,produces,interventions,,PW,,
institutions,structure,incentives,,PW,,
incentives,affects,research,,PW,,
grand challenge,directs,researchers,,PW,,
law,affects,technology adoption,,PW,,
law suits,impact,society,,PW/SB,,
lawmakers,misunderstand,technology,,PW,,
market pressure,pushes,technology adoption,,PW,,
overhyped research,gets,sponsors,,PW,,
people,exploit,technology,,PW,,
policy,precedes,data,,PW,,
research,trains,people,,PW,,
research incentives,don't align with,society,TN,PW,,
researchers,engage in,measurement,,PW,Measure what?,
researchers,inform,regulators,,PW,,
risk mitigation,limits,technology gains,,PW,,
social change,effects,sponsors,,,,
sponsors,influence,research,,PW,,
sponsors,influence,science,,PW,,
sponsors,should focus on,fundamental questions,,PW,,
technologists,cannot anticipate,societal impact,NG,PW,,
technologists,can fix,technical problems,NG,PW,,
technology,affects,government behavior,,PW,How?,
technology,changes,the equilibrium,,PW,How?,
technology,changes,law enforcement,,PW,,
technology,creates,digital divide,TN,PW,,
technology,impacts,economy,,PW,,
technology,is not,the ultimate driver,,PW,What is?,
technology,will not acheive,convergence,,PW,,
grand challenge,enables,collaboration,,PW,,
grand challenge,creates,conversation,,PW,,
grand challenge,creates,shared belief,,PW,,
science,transforms,products,,PW,"But, via technology, no? Or through design?",
technology,impacts,society,,PW,,
AI training,influences,bias,,PW,AI bias?,
government,supervises,regulation,,PW,,